,school,year,GSI,good_school_75,good_school_80,good_school_85,good_school_90
0,Admiralty,2013,0.49179591605808537,0,0,0,0
1,Ahmad Ibrahim,2013,-0.5194656345382328,0,0,0,0
2,Ai Tong,2013,1.2335641922962424,1,1,1,1
3,Alexandra,2013,0.43076461291700613,0,0,0,0
4,Anchor Green,2013,-0.027182133135896364,0,0,0,0
5,Anderson,2013,0.5177655927474414,0,0,0,0
6,Ang Mo Kio,2013,-0.5776294912690694,0,0,0,0
7,Anglo-Chinese (Junior),2013,0.7056122868708704,1,1,0,0
8,Anglo-Chinese,2013,0.9102379183800748,1,1,1,1
9,Angsana,2013,-0.7585492602012934,0,0,0,0
10,Beacon,2013,0.4326399455279139,0,0,0,0
11,Bedok Green,2013,-0.46305543437507357,0,0,0,0
12,Bendemeer,2013,-0.5288722874802322,0,0,0,0
13,Blangah Rise,2013,-0.9286159936023569,0,0,0,0
14,Boon Lay Garden,2013,-0.50075099138802,0,0,0,0
15,Bukit Panjang,2013,0.45130915969930563,0,0,0,0
16,Bukit Timah,2013,-0.5709058358358263,0,0,0,0
17,Bukit View,2013,-0.46021398861563034,0,0,0,0
18,CHIJ (Katong),2013,0.31864526501319373,0,0,0,0
19,CHIJ (Kellock),2013,0.1280979367425348,0,0,0,0
20,CHIJ (Toa Payoh),2013,0.6957495988819378,1,1,0,0
21,CHIJ Our Lady Queen of Peace,2013,0.201219575160663,0,0,0,0
22,CHIJ Our Lady of Good Counsel,2013,0.3594925839540522,0,0,0,0
23,CHIJ Our Lady of the Nativity,2013,0.5159002085556331,0,0,0,0
24,CHIJ St. Nicholas Girls',2013,1.1182215046457467,1,1,1,1
25,Canberra,2013,0.707730908277229,1,1,1,0
26,Canossa Catholic,2013,-0.5111653682818937,0,0,0,0
27,Cantonment,2013,-0.5669140050497369,0,0,0,0
28,Casuarina,2013,-0.4995037043980116,0,0,0,0
29,Catholic High,2013,1.1876285328335827,1,1,1,1
30,Cedar,2013,-0.22468006529021287,0,0,0,0
31,Changkat,2013,-0.2002387637489472,0,0,0,0
32,Chongfu,2013,0.7630248656156929,1,1,1,0
33,Chongzheng,2013,0.5115812172290922,0,0,0,0
34,Chua Chu Kang,2013,0.09807545552528889,0,0,0,0
35,Clementi,2013,-0.12874108349863192,0,0,0,0
36,Compassvale,2013,0.5310765622026129,0,0,0,0
37,Concord,2013,-0.4016681617186462,0,0,0,0
38,Corporation,2013,-0.560958846111998,0,0,0,0
39,Damai,2013,-0.9913340551411989,0,0,0,0
40,Dazhong,2013,-0.5100787145788855,0,0,0,0
41,De La Salle,2013,0.5057318318393776,0,0,0,0
42,East Spring,2013,0.2354851634209108,0,0,0,0
43,Edgefield,2013,-0.07727088069091972,0,0,0,0
44,Elias Park,2013,-0.09149524345529954,0,0,0,0
45,Endeavour,2013,0.5335735521904621,0,0,0,0
47,Evergreen,2013,0.44650496713603927,0,0,0,0
48,Fairfield Methodist,2013,0.9427953418862252,1,1,1,1
49,Farrer Park,2013,-0.68550867893428,0,0,0,0
50,Fengshan,2013,0.3011304060689561,0,0,0,0
51,Fernvale,2013,-0.670629805139973,0,0,0,0
52,First Toa Payoh,2013,-0.7568199535389456,0,0,0,0
53,Frontier,2013,0.5025902578866708,0,0,0,0
54,Fuchun,2013,0.453840299116255,0,0,0,0
55,Fuhua,2013,-0.5308085754975975,0,0,0,0
56,Gan Eng Seng,2013,-0.309558166586974,0,0,0,0
57,Geylang Methodist,2013,0.4495557542799087,0,0,0,0
58,Gongshang,2013,0.4557760080981524,0,0,0,0
59,Greendale,2013,-0.5526160173957011,0,0,0,0
60,Greenridge,2013,0.4515035362493434,0,0,0,0
61,Greenwood,2013,0.006927994067460966,0,0,0,0
63,Haig Girls',2013,0.019316605228109,0,0,0,0
64,Henry Park,2013,1.173453079647644,1,1,1,1
65,Holy Innocents',2013,0.9220688466091811,1,1,1,1
66,Hong Wen,2013,0.9443627531272141,1,1,1,1
