school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Admiralty,2009,51,139,63,75,51,75,1
Ahmad Ibrahim,2009,3,71,59,116,3,70,0
Ai Tong,2009,65,64,45,48,45,48,1
Anchor Green,2009,0,110,95,189,0,110,0
Anderson,2009,25,116,57,88,25,88,1
Ang Mo Kio,2009,2,107,65,128,2,107,0
Anglo-Chinese (Junior),2009,73,63,53,54,53,54,1
Anglo-Chinese (Primary),2009,36,48,26,27,26,27,1
Angsana,2009,0,22,75,150,0,22,0
Beacon,2009,13,192,88,163,13,163,1
Bedok Green,2009,0,82,63,125,0,81,0
Bendemeer,2009,0,45,48,97,0,45,0
Blangah Rise,2009,0,14,86,172,0,13,0
Boon Lay Garden,2009,2,57,91,179,2,57,0
Bukit Panjang,2009,15,106,35,56,15,56,1
Bukit Timah,2009,2,43,65,129,2,43,0
Bukit View,2009,0,96,58,115,0,96,0
CHIJ (Katong),2009,65,85,76,90,65,85,0
CHIJ (Kellock),2009,18,125,68,117,18,117,1
CHIJ (Toa Payoh),2009,63,60,53,53,53,53,1
CHIJ Our Lady Queen of Peace,2009,51,86,57,64,51,64,1
CHIJ Our Lady of Good Counsel,2009,26,76,50,76,26,76,0
CHIJ Our Lady of the Nativity,2009,65,109,81,97,65,97,1
CHIJ St. Nicholas Girls’,2009,46,49,37,37,37,37,1
Canberra,2009,29,120,56,86,29,86,1
Canossa Catholic,2009,3,46,49,94,3,46,0
Casuarina,2009,3,63,52,103,3,63,0
Catholic High,2009,39,72,28,28,28,28,1
Cedar,2009,1,46,51,101,1,46,0
Changkat,2009,2,68,48,94,2,68,0
Chongfu,2009,96,98,80,81,80,81,1
Chongzheng,2009,5,91,34,65,5,65,1
Chua Chu Kang,2009,2,124,64,127,2,124,0
Clementi,2009,3,136,61,120,3,120,1
Compassvale,2009,10,123,47,84,10,84,1
Concord,2009,2,89,49,95,2,89,0
Corporation,2009,0,71,102,206,0,71,0
Damai,2009,1,28,72,144,1,28,0
Dazhong,2009,0,5,53,105,0,5,0
De La Salle,2009,40,132,71,103,40,103,1
East Spring,2009,1,87,36,71,1,71,1
Edgefield,2009,2,133,70,138,2,132,0
Elias Park,2009,0,90,38,75,0,75,1
Endeavour,2009,2,217,104,205,2,205,1
Eunos,2009,0,41,56,112,0,41,0
Evergreen,2009,46,154,66,85,46,85,1
Fairfield Methodist,2009,57,93,59,63,57,63,1
Farrer Park,2009,0,34,75,151,0,33,0
Fengshan,2009,0,109,72,145,0,109,0
Fernvale,2009,0,91,85,171,0,91,0
First Toa Payoh,2009,0,26,86,171,0,26,0
Fuchun,2009,6,133,64,121,6,121,1
Fuhua,2009,1,82,70,138,1,82,0
Gan Eng Seng,2009,0,113,76,153,0,113,0
Geylang Methodist,2009,17,155,74,133,17,133,1
Gongshang,2009,30,105,47,65,30,65,1
Greendale,2009,0,99,106,213,0,99,0
Greenridge,2009,2,128,61,122,2,122,1
Greenwood,2009,1,132,63,126,1,126,1
Guangyang,2009,0,9,67,134,0,9,0
Haig Girls’,2009,0,87,65,131,0,87,0
Henry Park,2009,26,66,35,45,26,45,1
Holy Innocents’,2009,62,79,65,71,62,71,1
Hong Wen,2009,22,105,56,91,22,91,1
Horizon,2009,0,42,135,270,0,42,0
Hougang,2009,25,149,52,80,25,80,1
Huamin,2009,0,50,62,123,0,50,0
Innova,2009,5,178,82,158,5,158,1
Jiemin,2009,1,107,53,106,1,106,1
Jing Shan,2009,1,65,50,100,1,65,0
Junyuan,2009,0,64,64,128,0,63,0
Jurong,2009,6,138,57,107,6,107,1
Jurong West,2009,26,205,54,81,26,81,1
Juying,2009,0,28,73,146,0,28,0
Keming,2009,11,110,55,99,11,99,1
Kheng Cheng,2009,0,112,72,145,0,112,0
Kong Hwa,2009,63,66,55,55,55,55,1
Kranji,2009,2,32,92,186,2,32,0
Kuo Chuan Presbyterian,2009,27,148,74,122,27,122,1
Lakeside,2009,3,90,88,174,2,90,0
Lianhua,2009,2,73,47,92,2,73,0
Maha Bodhi,2009,55,71,55,58,55,58,1
Maris Stella High,2009,99,121,98,98,99,98,1
Marsiling,2009,2,68,86,169,2,68,0
Marymount Convent,2009,18,86,96,177,18,86,0
Mayflower,2009,0,45,77,154,0,45,0
Mee Toh,2009,57,179,67,77,57,77,1
Meridian,2009,3,69,65,127,3,69,0
Methodist Girls’,2009,64,42,37,37,37,37,1
Montfort Junior,2009,8,55,100,193,8,53,0
Nan Chiau,2009,79,191,75,73,77,73,1
Nan Hua,2009,42,100,42,43,42,43,1
Nanyang,2009,47,55,47,47,47,47,1
Naval Base,2009,3,37,77,152,3,37,0
New Town,2009,0,99,97,194,0,98,0
Ngee Ann,2009,9,124,68,128,9,124,0
North Spring,2009,0,46,81,162,0,46,0
North View,2009,0,45,65,130,0,45,0
North Vista,2009,1,203,110,218,1,202,0
Northland,2009,51,153,72,92,51,92,1
Opera Estate,2009,0,14,67,135,0,14,0
Park View,2009,0,72,54,108,0,72,0
Pasir Ris,2009,20,100,48,76,20,76,1
Paya Lebar Methodist Girls’,2009,87,103,85,85,85,85,1
Pei Chun Public,2009,63,119,62,65,63,65,1
Pei Hwa Presbyterian,2009,78,88,78,79,78,79,1
Pei Tong,2009,0,75,91,183,0,75,0
Peiying,2009,1,63,56,111,1,63,0
Pioneer,2009,1,92,79,157,1,92,0
Poi Ching,2009,26,111,64,101,26,101,1
Princess Elizabeth,2009,8,175,56,106,8,106,1
Punggol,2009,4,108,67,129,4,108,0
Qifa,2009,1,80,69,137,1,80,0
Qihua,2009,0,82,90,181,0,82,0
Queenstown,2009,4,61,62,122,4,61,0
Radin Mas,2009,23,128,43,65,23,65,1
Raffles Girls’,2009,47,140,67,86,47,86,1
Red Swastika,2009,32,86,35,41,32,41,1
River Valley,2009,32,102,60,92,32,92,1
Rivervale,2009,20,180,42,63,20,63,1
Rosyth,2009,53,173,67,81,53,81,1
Rulang,2009,54,146,52,52,52,52,1
Sembawang,2009,2,65,80,158,2,65,0
Seng Kang,2009,0,57,68,136,0,57,0
Shuqun,2009,8,179,87,168,8,168,1
Si Ling,2009,2,51,86,172,2,51,0
Singapore Chinese Girls’,2009,22,66,39,55,22,55,1
South View,2009,67,126,52,51,52,51,1
St. Andrew’s Junior,2009,58,105,69,79,58,79,1
St. Anthony’s,2009,46,146,65,88,46,88,1
St. Anthony’s Canossian,2009,38,90,93,149,38,90,0
St. Gabriel’s,2009,10,87,69,129,10,87,0
St. Hilda’s,2009,65,152,46,46,46,46,1
St. Joseph’s Institution Junior,2009,71,75,58,59,58,59,1
St. Margaret’s,2009,31,132,79,127,31,127,1
St. Stephen’s,2009,59,101,68,77,59,77,1
Stamford,2009,0,56,68,138,0,55,0
Tampines,2009,0,68,68,135,0,67,0
Tampines North,2009,3,82,66,129,3,82,0
Tanjong Katong,2009,14,105,84,159,14,105,0
Tao Nan,2009,107,103,82,82,82,82,1
Teck Ghee,2009,3,86,50,98,3,86,0
Teck Whye,2009,0,34,82,165,0,34,0
Telok Kurau,2009,3,106,53,103,3,103,1
Temasek,2009,53,78,53,53,53,53,1
Townsville,2009,0,80,79,158,0,79,0
Unity,2009,2,100,35,67,2,67,1
Wellington,2009,1,82,69,141,1,82,0
West Grove,2009,74,256,84,94,74,94,1
West View,2009,1,54,89,177,1,54,0
White Sands,2009,5,92,40,75,5,75,1
Woodgrove,2009,24,120,67,112,24,112,1
Woodlands,2009,2,86,66,132,2,86,0
Woodlands Ring,2009,5,110,56,107,5,107,1
Xinghua,2009,0,52,56,115,0,52,0
Xingnan,2009,1,126,76,150,1,126,0
Xinmin,2009,6,102,36,65,6,65,1
Xishan,2009,0,48,57,114,0,48,0
Yangzheng,2009,3,104,55,110,3,103,0
Yew Tee,2009,7,145,62,118,7,118,1
Yio Chu Kang,2009,1,48,58,116,1,48,0
Yishun,2009,0,77,53,106,0,77,0
Yu Neng,2009,14,129,46,77,14,77,1
Yuhua,2009,2,68,87,172,2,68,0
Yumin,2009,1,58,52,102,1,58,0
Zhangde,2009,0,156,65,132,0,132,1
Zhenghua,2009,2,107,77,154,2,107,0
Zhonghua,2009,0,52,67,134,0,52,0
Admiralty,2010,40,163,62,84,40,84,1
Ahmad Ibrahim,2010,0,58,61,123,0,58,0
Ai Tong,2010,56,68,37,37,37,37,1
Anchor Green,2010,0,117,94,188,0,117,0
Anderson,2010,29,95,44,60,29,60,1
Ang Mo Kio,2010,1,77,54,107,1,77,0
Anglo-Chinese (Junior),2010,83,76,63,63,64,63,1
Anglo-Chinese (Primary),2010,25,30,20,19,20,19,1
Angsana,2010,0,19,65,130,0,19,0
Beacon,2010,9,183,90,170,9,170,1
Bedok Green,2010,2,78,64,126,2,78,0
Bendemeer,2010,0,50,49,97,0,50,0
Blangah Rise,2010,0,16,81,161,0,16,0
Boon Lay Garden,2010,0,67,98,195,0,67,0
Bukit Panjang,2010,45,102,55,65,45,65,1
Bukit Timah,2010,1,50,61,121,1,50,0
Bukit View,2010,0,107,74,148,0,107,0
CHIJ (Katong),2010,62,100,76,89,62,89,1
CHIJ (Kellock),2010,24,123,75,125,24,123,0
CHIJ (Toa Payoh),2010,71,69,53,52,53,52,1
CHIJ Our Lady Queen of Peace,2010,39,94,67,95,39,94,0
CHIJ Our Lady of Good Counsel,2010,42,65,51,61,42,61,1
CHIJ Our Lady of the Nativity,2010,56,129,87,118,56,118,1
CHIJ St. Nicholas Girls’,2010,40,48,21,22,22,22,1
Canberra,2010,23,140,68,113,23,113,1
Canossa Catholic,2010,4,40,50,96,4,40,0
Cantonment,2010,0,74,104,208,0,74,0
Casuarina,2010,0,57,61,122,0,57,0
Catholic High,2010,48,58,9,9,9,9,1
Cedar,2010,0,52,37,75,0,53,0
Changkat,2010,1,93,47,93,1,93,0
Chongfu,2010,95,103,78,77,78,77,1
Chongzheng,2010,6,91,35,64,6,64,1
Chua Chu Kang,2010,1,130,74,148,1,130,0
Clementi,2010,5,124,51,97,5,97,1
Compassvale,2010,9,131,50,90,9,90,1
Concord,2010,1,78,50,98,1,78,0
Corporation,2010,2,70,106,209,2,70,0
Damai,2010,0,28,74,148,0,28,0
Dazhong,2010,1,12,62,122,1,12,0
De La Salle,2010,57,101,66,77,57,77,1
