school,year,SDI,good_school
Admiralty,2013,0.7240741158845283,0
Ahmad Ibrahim,2013,-0.6862013258358179,0
Ai Tong,2013,1.4796081264788188,1
Alexandra,2013,0.6389616660486774,0
Anchor Green,2013,0.0003226817094426626,0
Anderson,2013,0.7602906587193858,0
Ang Mo Kio,2013,-0.7673149197372868,0
Anglo-Chinese (Junior),2013,1.0222561011654188,1
Anglo-Chinese (Primary),2013,1.0287068700253958,1
Angsana,2013,-1.0196202772349403,0
Beacon,2013,0.6415769494287892,0
Bedok Green,2013,-0.607533329504185,0
Bendemeer,2013,-0.6993195657462205,0
Blangah Rise,2013,-1.256790312452528,0
Boon Lay Garden,2013,-0.6601024381447534,0
Bukit Panjang,2013,0.6676124832099417,0
Bukit Timah,2013,-0.757938308779913,0
Bukit View,2013,-0.6035707333082155,0
CHIJ (Katong),2013,0.4826033403541953,0
CHIJ (Kellock),2013,0.21687167342087346,0
CHIJ (Toa Payoh),2013,1.0085018882697143,1
CHIJ Our Lady Queen of Peace,2013,0.31884494715864453,0
CHIJ Our Lady of Good Counsel,2013,0.5395678029390153,0
CHIJ Our Lady of the Nativity,2013,0.7576892491102405,0
CHIJ St. Nicholas Girls’,2013,1.318754626531555,1
Canberra,2013,1.0252106679023114,1
Canossa Catholic,2013,-0.6746260200663536,0
Cantonment,2013,-0.752371419658295,0
Casuarina,2013,-0.6583630086077075,0
Catholic High,2013,1.136633531450495,1
Cedar,2013,-0.27510209177625233,0
Changkat,2013,-0.24101697570810654,0
Chongfu,2013,1.1023219850130879,1
Chongzheng,2013,0.7516661115774904,0
Chua Chu Kang,2013,0.17500320928790472,0
Clementi,2013,-0.1413084259886641,0
Compassvale,2013,0.7788537429353819,0
Concord,2013,-0.5219244551130839,0
Corporation,2013,-0.7440665311786705,0
Damai,2013,-1.3442550656495396,0
Dazhong,2013,-0.6731106049592497,0
De La Salle,2013,0.7435087317587799,0
East Spring,2013,0.366630722847469,0
Edgefield,2013,-0.06952960382610973,0
Elias Park,2013,-0.0893664793296796,0
Endeavour,2013,0.7823359713025226,0
Eunos,2013,-1.0322154158561103,0
Evergreen,2013,0.6609126983864458,0
Fairfield Methodist,2013,1.3530245729649422,1
Farrer Park,2013,-0.9177600434021527,0
Fengshan,2013,0.4581776362228665,0
Fernvale,2013,-0.8970104061790285,0
First Toa Payoh,2013,-1.0172086373227192,0
Frontier,2013,0.7391275856633526,0
Fuchun,2013,0.6711423353606432,0
Fuhua,2013,-0.7020198557328985,0
Gan Eng Seng,2013,-0.39347058084625486,0
Geylang Methodist,2013,0.6651672358840677,0
Gongshang,2013,0.6738418178415875,0
Greendale,2013,-0.7324318690616991,0
Greenridge,2013,0.6678835549962694,0
Greenwood,2013,0.047891656007422956,0
