school,total_years_observed,years_with_balloting,ballot_frequency
Admiralty,17,17,1.0
Ahmad Ibrahim,17,0,0.0
Ai Tong,17,17,1.0
Alexandra,13,13,1.0
Anchor Green,17,3,0.17647058823529413
Anderson,17,17,1.0
Ang Mo Kio,17,0,0.0
Anglo-Chinese (Junior),17,17,1.0
Anglo-Chinese (Primary),17,17,1.0
Angsana,17,3,0.17647058823529413
Beacon,17,5,0.29411764705882354
Bedok Green,17,0,0.0
Bendemeer,17,0,0.0
Blangah Rise,17,0,0.0
Boon Lay Garden,17,0,0.0
Bukit Panjang,17,17,1.0
Bukit Timah,17,0,0.0
Bukit View,17,0,0.0
CHIJ (Katong),17,4,0.23529411764705882
CHIJ (Kellock),17,5,0.29411764705882354
CHIJ (Toa Payoh),17,17,1.0
CHIJ Our Lady Queen of Peace,17,3,0.17647058823529413
CHIJ Our Lady of Good Counsel,17,5,0.29411764705882354
CHIJ Our Lady of the Nativity,17,16,0.9411764705882353
CHIJ St. Nicholas Girls’,17,17,1.0
Canberra,17,17,1.0
Canossa Catholic,17,1,0.058823529411764705
Cantonment,16,0,0.0
Casuarina,17,2,0.11764705882352941
Catholic High,17,17,1.0
Cedar,17,1,0.058823529411764705
Changkat,17,1,0.058823529411764705
Chongfu,17,17,1.0
Chongzheng,17,17,1.0
Chua Chu Kang,17,15,0.8823529411764706
Clementi,17,4,0.23529411764705882
Compassvale,17,17,1.0
Concord,17,4,0.23529411764705882
Corporation,17,0,0.0
Damai,16,0,0.0
Dazhong,17,1,0.058823529411764705
De La Salle,17,9,0.5294117647058824
East Spring,17,4,0.23529411764705882
Edgefield,17,3,0.17647058823529413
Elias Park,17,12,0.7058823529411765
Endeavour,17,7,0.4117647058823529
Eunos,12,0,0.0
Evergreen,17,7,0.4117647058823529
Fairfield Methodist,17,17,1.0
Farrer Park,17,0,0.0
Fengshan,17,13,0.7647058823529411
Fern Green,9,4,0.4444444444444444
Fernvale,17,0,0.0
First Toa Payoh,17,0,0.0
Frontier,15,15,1.0
Fuchun,17,6,0.35294117647058826
Fuhua,17,0,0.0
Gan Eng Seng,17,1,0.058823529411764705
