school,year,phase_2b_applied,phase_2b_taken,phase_2b_vacancy,phase_2b_ballot,phase_2c_applied,phase_2c_taken,phase_2c_vacancy,phase_2c_ballot,phase_2b_demand,phase_2c_demand
Admiralty,2009,51,51,63,0,139,75,75,1,0.80952381,1.853333333
Ahmad Ibrahim,2009,3,3,59,0,71,70,116,0,0.050847458,0.612068966
Ai Tong,2009,65,45,45,1,64,48,48,1,1.444444444,1.333333333
Anchor Green,2009,0,0,95,0,110,110,189,0,0,0.582010582
Anderson,2009,25,25,57,0,116,88,88,1,0.438596491,1.318181818
Ang Mo Kio,2009,2,2,65,0,107,107,128,0,0.030769231,0.8359375
Anglo-Chinese (Junior),2009,73,53,53,1,63,54,54,1,1.377358491,1.166666667
Anglo-Chinese (Primary),2009,36,26,26,1,48,27,27,1,1.384615385,1.777777778
Angsana,2009,0,0,75,0,22,22,150,0,0,0.146666667
Beacon,2009,13,13,88,0,192,163,163,1,0.147727273,1.17791411
Bedok Green,2009,0,0,63,0,82,81,125,0,0,0.656
Bendemeer,2009,0,0,48,0,45,45,97,0,0,0.463917526
Blangah Rise,2009,0,0,86,0,14,13,172,0,0,0.081395349
Boon Lay Garden,2009,2,2,91,0,57,57,179,0,0.021978022,0.318435754
Bukit Panjang,2009,15,15,35,0,106,56,56,1,0.428571429,1.892857143
Bukit Timah,2009,2,2,65,0,43,43,129,0,0.030769231,0.333333333
Bukit View,2009,0,0,58,0,96,96,115,0,0,0.834782609
CHIJ (Katong),2009,65,65,76,0,85,85,90,0,0.855263158,0.944444444
CHIJ (Kellock),2009,18,18,68,0,125,117,117,1,0.264705882,1.068376068
CHIJ (Toa Payoh),2009,63,53,53,1,60,53,53,1,1.188679245,1.132075472
CHIJ Our Lady Queen of Peace,2009,51,51,57,0,86,64,64,1,0.894736842,1.34375
CHIJ Our Lady of Good Counsel,2009,26,26,50,0,76,76,76,0,0.52,1
CHIJ Our Lady of the Nativity,2009,65,65,81,0,109,97,97,1,0.802469136,1.12371134
CHIJ St. Nicholas Girls’,2009,46,37,37,1,49,37,37,1,1.243243243,1.324324324
Canberra,2009,29,29,56,0,120,86,86,1,0.517857143,1.395348837
Canossa Catholic,2009,3,3,49,0,46,46,94,0,0.06122449,0.489361702
Casuarina,2009,3,3,52,0,63,63,103,0,0.057692308,0.611650485
Catholic High,2009,39,28,28,1,72,28,28,1,1.392857143,2.571428571
Cedar,2009,1,1,51,0,46,46,101,0,0.019607843,0.455445545
