school,total_years_observed,years_with_balloting,ballot_frequency,avg_phase2c_demand,avg_phase2c_demand_capped,avg_phase2c_demand_norm,ballot_frequency_norm,demand_index
South View,17,17,1,3.4546967239040347,3.376706375433805,1,1,100
Nan Hua,17,17,1,3.7989177975967285,3.376706375433805,1,1,100
Rosyth,17,17,1,3.362943372762587,3.362943372762587,0.995772522,1,99.70407656
Northland,17,17,1,3.3368938291130217,3.3368938291130217,0.98777108,1,99.14397562
Princess Elizabeth,17,17,1,3.2079193599995754,3.2079193599995754,0.948154965,1,96.37084755
Rulang,17,17,1,3.1945748252091617,3.1945748252091617,0.944056025,1,96.08392174
Nan Chiau,17,17,1,3.046874264889521,3.046874264889521,0.898687957,1,92.90815702
St. Hilda’s,17,17,1,3.0325762409106676,3.0325762409106676,0.894296141,1,92.60072988
Ai Tong,17,17,1,2.3781287122850636,2.3781287122850636,0.693274428,1,78.52920997
Red Swastika,17,17,1,2.3017818133487395,2.3017818133487395,0.669823527,1,76.88764687
Chongfu,17,17,1,2.2557673508162845,2.2557673508162845,0.655689611,1,75.89827279
Catholic High,17,17,1,2.2072931529964777,2.2072931529964777,0.640800157,1,74.85601102
Temasek,17,17,1,2.1800185320647505,2.1800185320647505,0.632422418,1,74.26956924
Henry Park,17,17,1,2.1476575552615724,2.1476575552615724,0.62248234,1,73.57376383
Nanyang,17,17,1,2.0312479894285294,2.0312479894285294,0.586725692,1,71.07079843
Gongshang,17,17,1,1.983044196495526,1.983044196495526,0.571919296,1,70.03435073
CHIJ St. Nicholas Girls’,17,17,1,1.9436430845702253,1.9436430845702253,0.559816754,1,69.18717276
Sengkang Green,14,13,0.9285714285714286,1.9831134347238166,1.9831134347238166,0.571940564,0.9285714285714286,67.89298231
Hong Wen,17,17,1,1.8784711247804027,1.8784711247804027,0.539798374,1,67.78588619
Fairfield Methodist,17,17,1,1.8265637197489275,1.8265637197489275,0.523854368,1,66.66980575
Radin Mas,17,17,1,1.803781621860115,1.803781621860115,0.516856563,1,66.17995939
Pei Chun Public,17,17,1,1.7763390202196836,1.7763390202196836,0.508427226,1,65.58990579
Tao Nan,17,17,1,1.7625334978741014,1.7625334978741014,0.504186687,1,65.29306812
Pei Hwa Presbyterian,17,17,1,1.7358299170123175,1.7358299170123175,0.49598435,1,64.71890449
Poi Ching,17,17,1,1.711256560581389,1.711256560581389,0.488436337,1,64.1905436
Holy Innocents’,17,16,0.9411764705882352,1.7879805518190095,1.7879805518190095,0.512003067,0.9411764705882352,64.07550882
Mee Toh,17,17,1,1.7040775549298148,1.7040775549298148,0.486231216,1,64.03618513
Yu Neng,17,17,1,1.6946258884195644,1.6946258884195644,0.483328019,1,63.83296133
Kong Hwa,17,17,1,1.6857764035445832,1.6857764035445832,0.480609789,1,63.64268526
Rivervale,17,17,1,1.6379750283514247,1.6379750283514247,0.465927001,1,62.6148901
Admiralty,17,17,1,1.601128077072773,1.601128077072773,0.454609001,1,61.82263009
Canberra,17,17,1,1.5998836065555264,1.5998836065555264,0.454226747,1,61.79587226
Keming,17,17,1,1.5910566364188268,1.5910566364188268,0.451515433,1,61.60608029
Pasir Ris,17,17,1,1.585168599685798,1.585168599685798,0.449706849,1,61.47947942
Westwood,14,14,1,1.5654990372020516,1.5654990372020516,0.443665098,1,61.05655684
Shuqun,17,17,1,1.5520227651235734,1.5520227651235734,0.439525693,1,60.7667985
Frontier,15,15,1,1.5467148908019417,1.5467148908019417,0.437895313,1,60.65267192
Bukit Panjang,17,17,1,1.49986746,1.49986746,0.423505541,1,59.64538786
Singapore Chinese Girls’,17,17,1,1.4662808945193826,1.4662808945193826,0.413189009,1,58.92323062
Anglo-Chinese (Primary),17,17,1,1.429171280990829,1.429171280990829,0.401790329,1,58.12532301
Anderson,17,17,1,1.4289167324682355,1.4289167324682355,0.401712141,1,58.11984987
Xinmin,17,17,1,1.4236628026116698,1.4236628026116698,0.400098331,1,58.00688316
Methodist Girls’,17,17,1,1.403399428696403,1.403399428696403,0.393874183,1,57.57119282
Punggol Green,14,11,0.7857142857142857,1.7019426385149927,1.7019426385149927,0.48557545,0.7857142857142857,57.56171007
Maha Bodhi,17,17,1,1.3954412297014263,1.3954412297014263,0.391429723,1,57.40008062
St. Anthony’s,17,17,1,1.3873885872878111,1.3873885872878111,0.388956254,1,57.22693776
St. Joseph’s Institution Junior,17,17,1,1.3835539373301504,1.3835539373301504,0.387778393,1,57.14448752
Hougang,17,17,1,1.373936328422492,1.373936328422492,0.384824225,1,56.93769573
CHIJ (Toa Payoh),17,17,1,1.3548010262944201,1.3548010262944201,0.378946578,1,56.52626048
Chongzheng,17,17,1,1.3547300468450998,1.3547300468450998,0.378924776,1,56.52473432
Raffles Girls’,17,17,1,1.3482620696918153,1.3482620696918153,0.376938056,1,56.38566394
St. Andrew’s Junior,17,17,1,1.3301606389352847,1.3301606389352847,0.371377976,1,55.99645834
Anglo-Chinese (Junior),17,17,1,1.3142444444854335,1.3142444444854335,0.366489119,1,55.65423832
Maris Stella High,17,17,1,1.3014298712897712,1.3014298712897712,0.362552963,1,55.37870741
Kuo Chuan Presbyterian,17,17,1,1.2895672440961585,1.2895672440961585,0.358909209,1,55.12364465
Compassvale,17,17,1,1.2787509497527783,1.2787509497527783,0.35558685,1,54.89107948
Horizon,17,14,0.8235294117647058,1.5099175906201006,1.5099175906201006,0.426592564,0.8235294117647058,54.56736182
Paya Lebar Methodist Girls’,17,17,1,1.262213453871491,1.262213453871491,0.350507152,1,54.53550062
Alexandra,13,13,1,1.2539340533507466,1.2539340533507466,0.347964031,1,54.35748215
